"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Jake Lamb","ARI","106","65","89.0","107.7","7.7","4","6.2%","28","43.1%",".284","",".505","",".358","","13329"
"Jed Lowrie","OAK","99","76","89.0","104.0","18.5","4","5.3%","30","39.5%",".292","",".438","",".341","","4418"
"Justin Smoak","TOR","82","59","89.0","107.4","16.9","5","8.5%","26","44.1%",".273","",".506","",".338","","9054"
"Anthony Rizzo","CHC","114","82","89.0","113.6","18.3","5","6.1%","34","41.5%",".260","",".500","",".371","","3473"
"Brian Dozier","MIN","101","75","88.9","107.2","13.1","2","2.7%","26","34.7%",".242","",".363","",".295","","9810"
"Jonathan Villar","MIL","116","70","88.9","109.9","3.1","4","5.7%","23","32.9%",".206","",".327","",".261","","10071"
"Andrelton Simmons","LAA","106","81","88.9","108.6","9.2","1","1.2%","30","37.0%",".284","",".400","",".333","","10847"
"Nomar Mazara","TEX","103","77","88.9","111.7","13.7","4","5.2%","23","29.9%",".229","",".385","",".284","","14553"
"Hunter Renfroe","SDP","104","74","88.9","108.2","12.2","7","9.5%","24","32.4%",".216","",".392","",".262","","15464"
"Travis Shaw","MIL","97","71","88.8","113.7","10.3","4","5.6%","24","33.8%",".256","",".533","",".344","","11982"
"Shin-Soo Choo","TEX","87","57","88.6","106.4","10.0","2","3.5%","19","33.3%",".274","",".438","",".363","","3174"
"Starlin Castro","NYY","98","75","88.6","107.8","10.1","5","6.7%","32","42.7%",".352","",".549","",".403","","4579"
"Jayson Werth","WSN","82","50","88.6","108.5","9.9","2","4.0%","19","38.0%",".282","",".437","",".352","","1327"
"Eugenio Suarez","CIN","94","66","88.6","108.1","11.2","5","7.6%","28","42.4%",".329","",".610","",".429","","12552"
"Dexter Fowler","STL","105","70","88.6","112.4","11.7","6","8.6%","27","38.6%",".234","",".415","",".305","","4062"
"Mike Trout","LAA","115","77","88.5","114.7","11.7","7","9.1%","29","37.7%",".364","",".707","",".466","","10155"
"Addison Russell","CHC","103","79","88.5","110.0","17.5","4","5.1%","30","38.0%",".258","",".402","",".302","","14106"
"Nolan Arenado","COL","110","85","88.5","106.8","18.4","8","9.4%","32","37.6%",".293","",".616","",".400","","9777"
"Justin Upton","DET","82","47","88.4","112.3","10.6","9","19.1%","22","46.8%",".290","",".565","",".405","","5222"
"J.J. Hardy","BAL","81","61","88.4","106.3","17.1","1","1.6%","21","34.4%",".195","",".273","",".217","","3797"
"Stephen Piscotty","STL","87","56","88.4","108.0","8.6","4","7.1%","23","41.1%",".229","",".371","",".331","","13367"
