"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bobby Abreu","PHI","157","685","20","102","85","31","15.2%","17.1%",".213",".354",".308",".413",".521",".401","","148","2.1","42.8","-13.1","5.2","945"
"Sammy Sosa","CHC","150","666","49","122","108","2","15.5%","21.6%",".306",".302",".288",".399",".594",".416","","157","1.2","48.9","-20.1","5.1","302"
"Corey Koskie","MIN","140","576","15","71","69","10","12.5%","22.0%",".180",".329",".267",".368",".447",".356","","116","-2.5","9.0","21.9","5.1","738"
"Jacque Jones","MIN","149","626","27","96","85","6","5.9%","20.6%",".211",".342",".300",".341",".511",".364","","121","0.8","17.3","11.5","5.0","735"
"Bernie Williams","NYY","154","699","19","102","102","8","11.9%","13.9%",".160",".372",".333",".415",".493",".396","","146","1.6","40.8","-15.5","4.9","857"
"Shawn Green","LAD","158","685","42","110","114","8","13.6%","16.4%",".273",".286",".285",".385",".558",".394","","147","-3.7","36.6","-10.3","4.9","651"
"Mark Kotsay","SDP","153","646","17","82","61","11","9.1%","13.8%",".159",".319",".292",".359",".452",".355","","121","-1.2","16.1","11.4","4.9","1042"
"Eric Hinske","TOR","151","650","24","99","84","13","11.8%","21.2%",".201",".328",".279",".365",".481",".365","","121","5.2","21.7","4.6","4.8","1305"
"Jeff Bagwell","HOU","158","691","31","94","98","7","14.6%","18.8%",".228",".322",".291",".401",".518",".394","","138","2.1","34.7","-8.9","4.8","547"
"Gary Sheffield","ATL","135","579","25","82","84","12","12.4%","9.2%",".205",".301",".307",".404",".512",".398","","144","2.5","34.6","-5.3","4.8","114"
"Nomar Garciaparra","BOS","156","693","24","101","120","5","5.9%","9.1%",".217",".309",".310",".352",".528",".373","","127","2.5","25.9","-1.7","4.8","190"
"Ichiro Suzuki","SEA","157","728","8","111","51","31","9.3%","8.5%",".104",".344",".321",".388",".425",".347","","118","6.3","22.1","-0.3","4.7","1101"
"Randy Winn","TBD","152","674","14","87","75","27","8.2%","16.2%",".163",".342",".298",".360",".461",".356","","119","5.0","20.5","2.5","4.6","1235"
"Mike Piazza","NYM","135","541","33","69","98","0","10.5%","15.2%",".264",".276",".280",".359",".544",".381","","136","-3.9","20.3","8.0","4.6","893"
"Ryan Klesko","SDP","146","625","29","90","95","6","12.2%","13.8%",".237",".310",".300",".388",".537",".393","","147","3.8","40.3","-15.1","4.6","1041"
"John Olerud","SEA","154","668","22","85","102","0","14.7%","9.9%",".190",".302",".300",".403",".490",".386","","144","-1.2","34.7","-12.0","4.5","1093"
"Mike Sweeney","KCR","126","545","24","81","86","9","11.2%","8.4%",".223",".333",".340",".417",".563",".415","","151","0.7","35.1","-8.4","4.5","634"
"Magglio Ordonez","CHW","153","654","38","116","135","7","8.1%","11.8%",".276",".316",".320",".381",".597",".415","","155","-1.7","42.3","-19.4","4.5","248"
"Miguel Tejada","OAK","162","715","34","108","131","7","5.3%","11.7%",".199",".310",".308",".354",".508",".371","","129","3.6","29.5","-8.8","4.5","941"
"David Eckstein","ANA","152","702","8","107","63","21","6.4%","6.3%",".095",".301",".293",".363",".388",".336","","105","5.7","10.2","10.6","4.5","10"
"Rafael Palmeiro","TEX","155","663","43","99","105","2","15.7%","14.2%",".299",".255",".273",".391",".571",".402","","143","-1.9","32.9","-10.7","4.5","1266"
"Jose Hernandez","MIL","152","582","24","72","73","3","8.9%","32.3%",".190",".404",".288",".356",".478",".360","","119","-4.1","9.4","16.3","4.5","688"
"Pat Burrell","PHI","157","684","37","96","116","1","13.0%","22.4%",".263",".318",".282",".376",".544",".390","","140","-2.0","32.3","-10.8","4.4","949"
"Johnny Damon","BOS","154","702","14","118","63","31","9.3%","10.0%",".157",".301",".286",".356",".443",".348","","110","6.3","15.2","4.4","4.4","185"
"Junior Spivey","ARI","143","626","16","103","78","11","10.4%","16.0%",".175",".341",".301",".389",".476",".376","","124","1.6","20.7","2.4","4.3","74"
"Jose Vidro","MON","152","681","19","103","96","2","8.8%","10.3%",".175",".330",".315",".378",".490",".377","","127","3.8","26.9","-5.6","4.3","802"
"Carlos Delgado","TOR","143","628","33","103","108","1","16.2%","20.1%",".271",".302",".277",".406",".549",".401","","145","-3.5","31.1","-9.5","4.3","1297"
"Torii Hunter","MIN","148","604","29","89","94","23","5.8%","19.5%",".235",".319",".289",".334",".524",".366","","122","0.2","16.8","5.0","4.2","731"
"Jorge Posada","NYY","143","598","20","79","99","1","13.5%","23.9%",".200",".333",".268",".370",".468",".362","","123","-4.7","11.8","9.7","4.2","841"
"Steve Finley","ARI","150","577","25","82","89","16","11.3%","12.7%",".212",".293",".287",".370",".499",".373","","122","4.8","20.9","2.1","4.2","54"
"Adam Dunn","CIN","158","676","26","84","71","19","18.9%","25.1%",".206",".313",".249",".400",".454",".373","","125","2.5","23.8","-4.4","4.1","319"
"Edgar Renteria","STL","152","609","11","77","83","22","8.0%","9.4%",".134",".322",".305",".364",".439",".349","","113","-2.5","7.6","13.3","4.1","1178"
"Adrian Beltre","LAD","159","635","21","70","75","7","5.8%","15.1%",".169",".273",".257",".303",".426",".313","","94","-0.2","-5.0","24.1","4.0","639"
"Bret Boone","SEA","155","675","24","88","107","12","7.9%","15.1%",".184",".297",".278",".339",".462",".346","","116","1.7","15.3","1.1","3.9","1067"
"Mark Bellhorn","CHC","146","529","27","86","56","7","14.4%","27.2%",".254",".321",".258",".374",".512",".382","","135","1.8","25.2","-4.0","3.9","264"
"Garret Anderson","ANA","158","678","29","93","123","6","4.4%","11.8%",".234",".308",".306",".332",".539",".364","","123","2.8","22.4","-8.1","3.7","2"
"Troy Glaus","ANA","156","671","30","99","111","10","13.1%","21.5%",".204",".278",".250",".352",".453",".350","","114","4.8","16.7","-2.3","3.7","15"
"Robin Ventura","NYY","141","562","27","68","93","3","16.0%","18.0%",".211",".257",".247",".368",".458",".358","","120","-0.6","13.2","4.4","3.7","854"
"Cliff Floyd","- - -","146","609","28","86","79","15","12.5%","17.4%",".244",".314",".288",".388",".533",".387","","139","5.7","35.0","-18.4","3.7","518"
"Darin Erstad","ANA","150","663","10","99","73","23","4.1%","10.1%",".106",".303",".283",".313",".389",".305","","84","6.6","-6.1","19.8","3.6","11"
"Ray Durham","- - -","150","659","15","114","70","26","11.1%","14.1%",".161",".321",".289",".374",".450",".362","","121","7.9","24.8","-11.9","3.5","230"
"Jose Valentin","CHW","135","527","25","70","75","3","8.2%","18.8%",".230",".262",".249",".311",".479",".337","","102","0.6","2.1","14.8","3.5","256"
"Derrek Lee","FLA","162","688","27","95","86","19","14.2%","23.8%",".224",".330",".270",".378",".494",".375","","132","0.6","28.3","-15.9","3.5","525"
"Adam Kennedy","ANA","144","509","7","65","52","17","3.7%","15.7%",".137",".361",".312",".345",".449",".345","","111","5.6","12.5","4.7","3.4","19"
"Omar Vizquel","CLE","151","663","14","85","72","18","8.4%","9.7%",".143",".284",".275",".341",".418",".331","","102","5.2","6.8","3.7","3.3","411"
"Tim Salmon","ANA","138","568","22","84","88","6","12.5%","18.0%",".217",".317",".286",".380",".503",".381","","135","-0.9","23.6","-9.9","3.3","32"
"Scott Hatteberg","OAK","136","569","15","58","61","0","12.1%","9.8%",".152",".291",".280",".375",".433",".358","","121","1.4","16.0","-3.2","3.2","916"
"Shannon Stewart","TOR","141","641","10","103","45","14","8.4%","9.4%",".139",".325",".303",".371",".442",".358","","116","3.3","15.7","-5.9","3.2","1322"
"Ellis Burks","CLE","138","570","32","92","91","2","7.7%","18.9%",".239",".327",".301",".362",".541",".386","","139","-1.5","25.8","-14.2","3.1","372"
"Mike Lieberthal","PHI","130","530","15","46","52","0","7.2%","10.9%",".164",".291",".279",".349",".443",".347","","112","-4.0","3.9","9.7","3.1","959"
"Reggie Sanders","SFG","140","571","23","75","85","18","8.2%","21.2%",".206",".280",".250",".324",".455",".336","","107","4.0","8.7","3.4","3.1","1129"
"David Bell","SFG","154","628","20","82","73","1","8.6%","12.7%",".168",".270",".261",".333",".429",".333","","104","-0.9","2.6","7.6","3.1","1108"
